ModChr,ModStart,ModEnd,Strand,ModID,ModType,Motif score,Support Num,Cell/Tissue,Seq Type,Transcript ID Num,Conserved Sites Num,snoRNA List,Writer Name
chr2,186502550,186502551,+,ac4C_site_1150,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr4,184716556,184716557,-,ac4C_site_1474,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr1,183635773,183635774,-,ac4C_site_158,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr1,183627506,183627507,-,ac4C_site_157,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr3,181713525,181713526,+,ac4C_site_1425,ac4C,noScore,1,H1,ac4C-seq,48,0,na,na
chr5,180851246,180851247,-,ac4C_site_1537,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr1,180080617,180080618,+,ac4C_site_155,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr5,179833104,179833105,+,ac4C_site_1536,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr5,179801376,179801377,-,ac4C_site_1535,ac4C,noScore,1,H1,ac4C-seq,10,0,na,na
chr5,179623121,179623122,-,ac4C_site_1534,ac4C,noScore,1,H1,ac4C-seq,32,0,na,na
chr3,179618519,179618520,+,ac4C_site_1424,ac4C,noScore,1,H1,ac4C-seq,13,0,na,na
chr5,178122194,178122195,+,ac4C_site_1532,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr5,176392896,176392897,-,ac4C_site_1528,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr3,176322012,176322013,-,ac4C_site_1423,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr2,176201183,176201184,-,ac4C_site_1149,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr2,176201181,176201182,-,ac4C_site_1148,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr2,176201097,176201098,-,ac4C_site_1147,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr1,171783966,171783967,+,ac4C_site_154,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr1,171592196,171592197,+,ac4C_site_153,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr6,170582196,170582197,-,ac4C_site_1634,ac4C,noScore,1,H1,ac4C-seq,13,0,na,na
chr6,170535276,170535277,-,ac4C_site_1633,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr5,169593412,169593413,+,ac4C_site_1525,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr3,169483823,169483824,-,ac4C_site_1422,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr1,169298723,169298724,-,ac4C_site_151,ac4C,noScore,1,H1,ac4C-seq,11,0,na,na
chr6,167962483,167962484,+,ac4C_site_1632,ac4C,noScore,1,H1,ac4C-seq,10,0,na,na
chr1,167935960,167935961,-,ac4C_site_150,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr1,167935900,167935901,-,ac4C_site_149,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr3,167734337,167734338,-,ac4C_site_1421,ac4C,noScore,1,H1,ac4C-seq,14,0,na,na
chr1,165631279,165631280,+,ac4C_site_147,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr5,163475603,163475604,+,ac4C_site_1524,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr3,161429563,161429564,-,ac4C_site_1419,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr3,161429560,161429561,-,ac4C_site_1418,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr3,161429399,161429400,-,ac4C_site_1417,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr1,161209909,161209910,+,ac4C_site_143,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr1,160997908,160997909,-,ac4C_site_142,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr6,159776233,159776234,+,ac4C_site_1631,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr4,159331720,159331721,+,ac4C_site_1471,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr6,158636667,158636668,-,ac4C_site_1630,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr1,156020066,156020067,-,ac4C_site_139,ac4C,noScore,1,H1,ac4C-seq,17,0,na,na
chr1,154974710,154974711,+,ac4C_site_137,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr5,154803668,154803669,+,ac4C_site_1522,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr4,154550319,154550320,-,ac4C_site_1470,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr1,153959256,153959257,-,ac4C_site_135,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr4,153781426,153781427,-,ac4C_site_1469,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr1,153638396,153638397,+,ac4C_site_134,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr1,153638395,153638396,+,ac4C_site_133,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr6,151350996,151350997,+,ac4C_site_1629,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr5,151117140,151117141,-,ac4C_site_1520,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr1,150966264,150966265,-,ac4C_site_126,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr7,150398596,150398597,+,ac4C_site_1703,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr5,150376554,150376555,+,ac4C_site_1518,ac4C,noScore,1,H1,ac4C-seq,15,0,na,na
chr6,149749798,149749799,+,ac4C_site_1628,ac4C,noScore,1,H1,ac4C-seq,11,0,na,na
chr5,149550844,149550845,-,ac4C_site_1517,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr7,149005359,149005360,-,ac4C_site_1701,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr5,147591194,147591195,-,ac4C_site_1516,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr5,147408735,147408736,-,ac4C_site_1515,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr5,146182488,146182489,-,ac4C_site_1514,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr6,145814676,145814677,-,ac4C_site_1627,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr4,145105625,145105626,+,ac4C_site_1468,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr6,144479906,144479907,+,ac4C_site_1626,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr8,143840867,143840868,-,ac4C_site_1740,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr8,143315788,143315789,-,ac4C_site_1739,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr7,143267677,143267678,+,ac4C_site_1699,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr3,143024008,143024009,+,ac4C_site_1415,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr5,141865104,141865105,-,ac4C_site_1512,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr5,141618978,141618979,-,ac4C_site_1511,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr4,141222431,141222432,+,ac4C_site_1466,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr5,140690941,140690942,-,ac4C_site_1509,ac4C,noScore,1,H1,ac4C-seq,15,0,na,na
chr5,140669537,140669538,+,ac4C_site_1508,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr5,140550888,140550889,-,ac4C_site_1507,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr5,139364617,139364618,+,ac4C_site_1504,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr3,139348204,139348205,+,ac4C_site_1413,ac4C,noScore,1,H1,ac4C-seq,10,0,na,na
chr5,138189145,138189146,-,ac4C_site_1502,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr6,138090983,138090984,-,ac4C_site_1624,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr5,137962411,137962412,-,ac4C_site_1500,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr5,137753565,137753566,-,ac4C_site_1499,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr5,137753466,137753467,-,ac4C_site_1498,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr9,137716700,137716701,+,ac4C_site_1815,ac4C,noScore,1,H1,ac4C-seq,14,0,na,na
chr9,137552445,137552446,+,ac4C_site_1814,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr9,137301275,137301276,-,ac4C_site_1813,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr9,137255384,137255385,+,ac4C_site_1812,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr9,137189258,137189259,+,ac4C_site_1811,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr9,137188797,137188798,+,ac4C_site_1810,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr9,136863334,136863335,-,ac4C_site_1809,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr9,136823617,136823618,+,ac4C_site_1807,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr3,136260520,136260521,+,ac4C_site_1412,ac4C,noScore,1,H1,ac4C-seq,19,0,na,na
chr3,136250397,136250398,+,ac4C_site_1411,ac4C,noScore,1,H1,ac4C-seq,13,0,na,na
chr6,134997435,134997436,-,ac4C_site_1623,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr7,134661621,134661622,+,ac4C_site_1698,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr3,134549162,134549163,+,ac4C_site_1410,ac4C,noScore,1,H1,ac4C-seq,12,0,na,na
chr5,134197729,134197730,-,ac4C_site_1496,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr11,134153556,134153557,-,ac4C_site_379,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr3,133589443,133589444,+,ac4C_site_1409,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr10,133369948,133369949,-,ac4C_site_258,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr10,133368949,133368950,-,ac4C_site_256,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr9,133334523,133334524,-,ac4C_site_1798,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr9,133332311,133332312,-,ac4C_site_1797,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr7,133035247,133035248,-,ac4C_site_1697,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr12,132715005,132715006,+,ac4C_site_491,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr12,132144011,132144012,-,ac4C_site_490,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr12,131714920,131714921,+,ac4C_site_488,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr12,131711278,131711279,+,ac4C_site_487,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr9,131587998,131587999,-,ac4C_site_1795,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr7,131505994,131505995,-,ac4C_site_1695,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr2,131492272,131492273,-,ac4C_site_1146,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr2,131492271,131492272,-,ac4C_site_1145,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr9,131475073,131475074,+,ac4C_site_1794,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr3,131471199,131471200,-,ac4C_site_1408,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr6,130876687,130876688,-,ac4C_site_1622,ac4C,noScore,1,H1,ac4C-seq,21,0,na,na
chr6,130863667,130863668,-,ac4C_site_1621,ac4C,noScore,1,H1,ac4C-seq,18,0,na,na
chr6,130863665,130863666,-,ac4C_site_1620,ac4C,noScore,1,H1,ac4C-seq,18,0,na,na
chr9,130703173,130703174,+,ac4C_site_1793,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr9,130612959,130612960,+,ac4C_site_1792,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr3,129183782,129183783,-,ac4C_site_1405,ac4C,noScore,1,H1,ac4C-seq,10,0,na,na
chr9,129134831,129134832,+,ac4C_site_1789,ac4C,noScore,1,H1,ac4C-seq,12,0,na,na
chr7,128954280,128954281,-,ac4C_site_1694,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr3,128813772,128813773,+,ac4C_site_1404,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr3,128806485,128806486,+,ac4C_site_1403,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr9,128257196,128257197,-,ac4C_site_1785,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr10,128103245,128103246,-,ac4C_site_254,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr3,128101573,128101574,-,ac4C_site_1399,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr4,127881035,127881036,+,ac4C_site_1465,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr2,127858067,127858068,-,ac4C_site_1143,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr2,127388291,127388292,+,ac4C_site_1141,ac4C,noScore,1,H1,ac4C-seq,0,0,na,na
chr6,127343419,127343420,-,ac4C_site_1619,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr2,127290481,127290482,-,ac4C_site_1140,ac4C,noScore,1,H1,ac4C-seq,15,0,na,na
chr10,125823718,125823719,+,ac4C_site_253,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr11,125620789,125620790,+,ac4C_site_377,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr9,125241205,125241206,-,ac4C_site_1783,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr12,124911998,124911999,-,ac4C_site_486,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr9,124876879,124876880,+,ac4C_site_1782,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr9,124861528,124861529,-,ac4C_site_1781,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr3,124859270,124859271,-,ac4C_site_1396,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr9,124857930,124857931,-,ac4C_site_1780,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr11,124625794,124625795,+,ac4C_site_376,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr11,124625738,124625739,+,ac4C_site_375,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr12,123485775,123485776,-,ac4C_site_483,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr11,123057585,123057586,-,ac4C_site_374,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr12,122981342,122981343,+,ac4C_site_482,ac4C,noScore,1,H1,ac4C-seq,20,0,na,na
chr9,122823125,122823126,-,ac4C_site_1779,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr12,122767552,122767553,+,ac4C_site_479,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr10,122238017,122238018,+,ac4C_site_252,ac4C,noScore,1,H1,ac4C-seq,15,0,na,na
chr7,122144177,122144178,-,ac4C_site_1692,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr7,122034332,122034333,+,ac4C_site_1691,ac4C,noScore,1,H1,ac4C-seq,17,0,na,na
chr10,121967784,121967785,-,ac4C_site_249,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr2,121736801,121736802,-,ac4C_site_1139,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr3,121726984,121726985,-,ac4C_site_1395,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr3,121637179,121637180,-,ac4C_site_1393,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr6,121448083,121448084,+,ac4C_site_1617,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr7,121396211,121396212,-,ac4C_site_1690,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr12,120579804,120579805,-,ac4C_site_475,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr12,120444075,120444076,-,ac4C_site_474,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr3,120396963,120396964,-,ac4C_site_1392,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr12,120118465,120118466,+,ac4C_site_473,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr12,120103861,120103862,-,ac4C_site_472,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr12,119998598,119998599,+,ac4C_site_471,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr3,119863466,119863467,-,ac4C_site_1391,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr5,119477460,119477461,+,ac4C_site_1494,ac4C,noScore,1,H1,ac4C-seq,26,0,na,na
chr11,119420066,119420067,-,ac4C_site_372,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr5,118973842,118973843,+,ac4C_site_1493,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr11,118647932,118647933,+,ac4C_site_371,ac4C,noScore,1,H1,ac4C-seq,13,0,na,na
chr7,117792554,117792555,-,ac4C_site_1689,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr12,117172483,117172484,-,ac4C_site_469,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr8,116849008,116849009,-,ac4C_site_1736,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr1,114734025,114734026,-,ac4C_site_120,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr8,114287724,114287725,+,ac4C_site_1735,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr13,114132484,114132485,-,ac4C_site_515,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr6,113970860,113970861,-,ac4C_site_1616,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr2,113934352,113934353,+,ac4C_site_1137,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr2,113890264,113890265,+,ac4C_site_1136,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr3,113745956,113745957,-,ac4C_site_1389,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr13,113254748,113254749,+,ac4C_site_514,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr3,113005885,113005886,-,ac4C_site_1388,ac4C,noScore,1,H1,ac4C-seq,11,0,na,na
chr1,112956139,112956140,-,ac4C_site_119,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr2,112584631,112584632,+,ac4C_site_1135,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr10,112464591,112464592,+,ac4C_site_245,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr1,112456156,112456157,+,ac4C_site_118,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr11,112226448,112226449,+,ac4C_site_369,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr11,112226436,112226437,+,ac4C_site_368,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr11,112226435,112226436,+,ac4C_site_367,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr11,112080550,112080551,+,ac4C_site_366,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr12,112074745,112074746,-,ac4C_site_467,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr12,111792120,111792121,+,ac4C_site_466,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr6,110958813,110958814,+,ac4C_site_1614,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr13,110892891,110892892,-,ac4C_site_512,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr12,110722558,110722559,-,ac4C_site_465,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr12,110453831,110453832,-,ac4C_site_463,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr13,110357492,110357493,+,ac4C_site_510,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr12,110334064,110334065,+,ac4C_site_462,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr10,110228201,110228202,+,ac4C_site_244,ac4C,noScore,1,H1,ac4C-seq,35,0,na,na
chr6,110210776,110210777,+,ac4C_site_1613,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr10,110133490,110133491,+,ac4C_site_243,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr4,110049807,110049808,-,ac4C_site_1462,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr5,109379119,109379120,-,ac4C_site_1492,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr3,109330730,109330731,-,ac4C_site_1385,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr3,109326552,109326553,-,ac4C_site_1384,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr1,109063235,109063236,-,ac4C_site_115,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr2,108775931,108775932,+,ac4C_site_1134,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr11,108723336,108723337,+,ac4C_site_365,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr1,108695744,108695745,+,ac4C_site_114,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr2,108534555,108534556,+,ac4C_site_1132,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr11,108334976,108334977,+,ac4C_site_363,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr11,107455745,107455746,-,ac4C_site_362,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr11,107392860,107392861,-,ac4C_site_361,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr6,106974658,106974659,-,ac4C_site_1611,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr14,105469479,105469480,+,ac4C_site_580,ac4C,noScore,1,H1,ac4C-seq,11,0,na,na
chr14,105011890,105011891,-,ac4C_site_577,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr14,104755787,104755788,+,ac4C_site_576,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr12,104265322,104265323,+,ac4C_site_457,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr12,104126120,104126121,-,ac4C_site_456,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr10,103395882,103395883,-,ac4C_site_241,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr10,103392457,103392458,-,ac4C_site_240,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr14,102968673,102968674,-,ac4C_site_573,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr13,102649454,102649455,+,ac4C_site_509,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr8,102214089,102214090,-,ac4C_site_1733,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr10,102108218,102108219,-,ac4C_site_236,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr14,102086346,102086347,-,ac4C_site_570,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr10,101781819,101781820,-,ac4C_site_235,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr3,101665004,101665005,-,ac4C_site_1382,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr10,101588398,101588399,+,ac4C_site_234,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr9,101554785,101554786,+,ac4C_site_1774,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr12,101407680,101407681,-,ac4C_site_454,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr7,101221685,101221686,+,ac4C_site_1687,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr7,101156660,101156661,+,ac4C_site_1685,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
